first_name,last_name,emp_no,title
Georgi,Facello,10001,Senior Engineer
Chirstian,Koblick,10004,Engineer
Chirstian,Koblick,10004,Senior Engineer
Sumant,Peac,10009,Assistant Engineer
Sumant,Peac,10009,Engineer
Sumant,Peac,10009,Senior Engineer
Kazuhide,Peha,10018,Engineer
Kazuhide,Peha,10018,Senior Engineer
Alain,Chappelet,10035,Engineer
Alain,Chappelet,10035,Senior Engineer
Sanjiv,Zschoche,10053,Senior Staff
Berhard,McFarlin,10058,Senior Staff
Kwee,Schusler,10066,Assistant Engineer
Kwee,Schusler,10066,Engineer
Kwee,Schusler,10066,Senior Engineer
Claudi,Stavenow,10067,Engineer
Claudi,Stavenow,10067,Senior Engineer
Reuven,Garigliano,10070,Technique Leader
Hironoby,Sidou,10072,Engineer
Hironoby,Sidou,10072,Senior Engineer
Erez,Ritzmann,10076,Senior Engineer
Jungsoon,Syrzycki,10088,Senior Staff
Jungsoon,Syrzycki,10088,Staff
Hironobu,Haraldson,10100,Senior Staff
Hironobu,Haraldson,10100,Staff
Akemi,Birch,10103,Engineer
Lunjin,Giveon,10108,Staff
Dayanand,Czap,10116,Senior Engineer
Kayoko,Valtorta,10126,Senior Staff
Kayoko,Valtorta,10126,Staff
Armond,Peir,10129,Technique Leader
Nishit,Casperson,10130,Senior Engineer
Diederik,Siprelle,10134,Engineer
Diederik,Siprelle,10134,Senior Engineer
Perry,Shimshoni,10138,Engineer
Perry,Shimshoni,10138,Senior Engineer
Xiadong,Perry,10149,Staff
Zhenbing,Perng,10150,Engineer
Zhenbing,Perng,10150,Senior Engineer
Jaques,Munro,10152,Engineer
Heekeun,Majewski,10153,Assistant Engineer
Nigel,Aloisi,10157,Senior Engineer
Hairong,Mellouli,10161,Engineer
Shigehito,Kropatsch,10186,Staff
Pranav,Furedi,10198,Engineer
Pranav,Furedi,10198,Senior Engineer
Xiaobin,Duclos,10215,Senior Staff
Yongmin,Roison,10217,Technique Leader
Leon,Trogemann,10224,Engineer
Leon,Trogemann,10224,Senior Engineer
Ulises,Takanami,10229,Engineer
Lein,Vendrig,10233,Senior Staff
Lein,Vendrig,10233,Staff
Basil,Ishibashi,10258,Assistant Engineer
Basil,Ishibashi,10258,Engineer
Basil,Ishibashi,10258,Senior Engineer
Yishai,Cannane,10272,Staff
Hercules,Benzmuller,10282,Assistant Engineer
Hercules,Benzmuller,10282,Engineer
Kauko,Birjandi,10283,Engineer
Kauko,Birjandi,10283,Senior Engineer
